HTTrack3.49-2+htsswf+htsjava launched on Tue, 18 Jul 2017 12:42:29 at https://www.rabbitsreviews.com/ https://www.rabbitsreviews.com/Default.aspx +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv
(winhttrack -Wr3%e3C2%Ps2u1k%s%uN0%I0p3DaK0c8H0%kf2A5000000%c10#L5000000%f0#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" -P 192.168.2.229:8080 https://www.rabbitsreviews.com/ https://www.rabbitsreviews.com/Default.aspx -O1 "K:\rabbit\rabbit" +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

12:42:29	Warning: 	* security warning: maximum bandwidth limited to 250000 to avoid server overload
12:42:29	Warning: 	* security warning: maximum number of connections per second limited to 5.000000 to avoid server overload
13:25:10	Warning: 	Retry after error -4 (Connect Error) at link maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css (from https://www.rabbitsreviews.com/)
13:25:10	Warning: 	Retry after error -4 (Connect Error) at link maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css (from https://www.rabbitsreviews.com/)
13:25:10	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/ver591ef180/css/024e985.css (from https://www.rabbitsreviews.com/)
13:25:10	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/ver591ef180/js/778ac7c.js (from https://www.rabbitsreviews.com/)
13:25:10	Warning: 	Retry after error -4 (Connect Error) at link www.googletagmanager.com/gtm.js?id= (from https://www.rabbitsreviews.com/)
13:25:11	Error: 	"Connect Error" (-4) after 2 retries at link www.rabbitsreviews.com/robots.txt (from https://www.rabbitsreviews.com/)
13:25:11	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/mystuff.aspx (from https://www.rabbitsreviews.com/)
13:25:18	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/Default.aspx?showGay=1 (from https://www.rabbitsreviews.com/)
13:25:19	Error: 	"Connect Error" (-4) after 2 retries at link rabbits.webcam/robots.txt (from https://www.rabbitsreviews.com/)
13:25:19	Warning: 	Retry after error -4 (Connect Error) at link rabbits.webcam/?id=572 (from https://www.rabbitsreviews.com/)
13:30:33	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/rabbitsfaq.aspx (from https://www.rabbitsreviews.com/)
13:30:33	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/s5317/Brazzers-Network.html (from https://www.rabbitsreviews.com/)
13:30:35	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/s11856/DDF-Network.html (from https://www.rabbitsreviews.com/)
13:30:35	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/s4903/Reality-Kings.html (from https://www.rabbitsreviews.com/)
13:30:35	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/s325/Nubilesnet.html (from https://www.rabbitsreviews.com/)
13:30:35	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/s8518/Fame-Digital.html (from https://www.rabbitsreviews.com/)
13:30:36	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/s723/Private.html (from https://www.rabbitsreviews.com/)
13:30:51	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/s5317/Brazzers-Network.html
13:30:52	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/s11856/DDF-Network.html
13:30:52	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/s4903/Reality-Kings.html
